"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.812370333E0,-1.890392030E-2,-1.144203259E-2,3.599019706E-2,4.223236433E-2
2.822373333E0,5.922480281E-3,-5.880654417E-4,4.661809623E-2,4.699647317E-2
2.832375333E0,6.914350782E-3,8.864762653E-3,4.227595389E-2,4.374526878E-2
2.842378333E0,1.407930957E-2,9.754635785E-3,4.437159598E-2,4.756278384E-2
2.852381333E0,1.930893134E-2,8.271124084E-3,4.197657645E-2,4.693910197E-2
2.862383333E0,5.048122371E-2,1.784824206E-2,5.499832571E-2,7.675760237E-2
2.872386333E0,5.639734514E-2,7.215263117E-3,5.529828787E-2,7.931343645E-2
2.882389333E0,7.656764444E-2,3.231683001E-3,7.550509572E-2,1.075828398E-1
2.892391333E0,8.550729713E-2,2.070912022E-2,5.919077933E-2,1.060373231E-1
2.902394333E0,8.202530762E-2,5.839230549E-3,4.182864189E-2,9.225986661E-2
2.912397333E0,5.878660882E-2,1.755588127E-2,3.120249689E-2,6.883073554E-2
2.922399333E0,2.496296961E-2,1.300227072E-2,3.180242121E-2,4.246884612E-2
2.932402333E0,1.694690290E-2,4.803286660E-3,4.602168024E-2,4.927742011E-2
2.942405333E0,2.407357156E-2,-3.737832606E-4,4.572054863E-2,5.167247941E-2
2.952407333E0,-1.717281556E-3,2.956918683E-3,4.287529349E-2,4.301143123E-2
2.962410333E0,-2.050901754E-3,4.011500571E-3,4.242564261E-2,4.266419442E-2
2.972413333E0,-1.454536920E-2,5.478146710E-3,3.194626272E-2,3.552663168E-2
2.982415333E0,6.968327891E-4,4.195358958E-3,5.110408008E-2,5.128073336E-2
2.992418333E0,3.699752614E-2,4.654895291E-3,5.095439136E-2,6.314138888E-2
3.002421333E0,5.242425347E-2,3.845839815E-2,4.661400318E-2,8.000135019E-2
3.012423333E0,6.113574598E-2,2.492975011E-2,3.898280203E-2,7.667288133E-2
3.022426333E0,6.385825527E-2,-2.236161646E-2,4.122813284E-2,7.923179661E-2
3.032429333E0,6.150994951E-2,1.325125247E-3,4.272443533E-2,7.490398667E-2
3.042431333E0,4.394766371E-2,8.694097046E-3,5.499774098E-2,7.093473044E-2
3.052434333E0,4.337874790E-2,6.365242414E-4,4.077731252E-2,5.953914803E-2
3.062437333E0,2.964055027E-2,1.505383942E-2,4.017563403E-2,5.214654227E-2
3.072439333E0,1.972524396E-2,1.777699739E-2,5.050298631E-2,5.705837810E-2
3.082442333E0,3.517419071E-2,9.757462548E-2,5.484162033E-2,1.173270410E-1
3.092445333E0,-6.833969839E-3,-1.053200483E-2,5.498955488E-2,5.640458683E-2
3.102447333E0,2.369620688E-3,-8.595909504E-2,5.094737470E-2,9.995106859E-2
3.112450333E0,3.571588042E-2,2.220787123E-2,4.974752605E-2,6.514315011E-2
3.122453333E0,2.383531580E-2,-2.165680770E-3,3.014064252E-2,3.848728081E-2
3.132455333E0,4.732316080E-2,4.708287679E-3,3.613053024E-2,5.972490885E-2
3.142458333E0,5.417562246E-2,3.436096178E-2,4.825765550E-2,8.027748799E-2
3.152461333E0,6.399674292E-2,-1.843025928E-2,5.334765673E-2,8.533012387E-2
3.162463333E0,5.861362260E-2,6.512117162E-3,5.110174119E-2,7.803430257E-2
3.172466333E0,4.451749315E-2,3.720618038E-2,4.391375899E-2,7.276348867E-2
3.182469333E0,2.894380884E-2,1.782635154E-2,2.789706588E-2,4.397464229E-2
3.192471333E0,5.186493988E-2,1.048212077E-2,4.032122970E-2,6.652554704E-2
3.202474333E0,2.844488603E-2,1.255011650E-2,6.606593549E-2,7.301592154E-2
3.212477333E0,1.685004012E-2,-3.239448834E-3,5.423994184E-2,5.688927114E-2
3.222480333E0,1.023203353E-2,-5.885240827E-3,6.217519820E-2,6.328574753E-2
3.232482333E0,1.881094957E-2,1.504799221E-3,5.289274335E-2,5.615833458E-2
3.242485333E0,1.261816347E-2,3.020857986E-2,4.929729044E-2,5.917769167E-2
3.252488333E0,2.091218306E-2,1.619697008E-2,4.944230139E-2,5.607318795E-2
3.262490333E0,1.082370780E-2,1.178499006E-2,5.138767004E-2,5.382129015E-2
3.272493333E0,3.501847205E-2,1.455956697E-4,3.866295934E-2,5.216453783E-2
3.282496333E0,5.389817208E-2,-1.370075718E-3,3.237369418E-2,6.288836249E-2
3.292498333E0,3.402422612E-2,1.327213800E-2,4.659119904E-2,5.919913376E-2
3.302501333E0,3.789237854E-2,9.592284188E-3,5.676593900E-2,6.892181148E-2
3.312504333E0,4.026259309E-2,2.170175817E-3,5.526905179E-2,6.841384473E-2
3.322506333E0,4.586886691E-2,7.710504010E-3,5.647065461E-2,7.315968600E-2
3.332509333E0,2.422202689E-2,1.749068482E-2,5.033926427E-2,5.853778412E-2
3.342512333E0,-7.483473985E-2,-1.535403913E-2,5.169055581E-2,9.223826953E-2
3.352514333E0,-4.799514475E-1,-1.209643469E-1,6.007546306E-2,4.985928464E-1
3.362517333E0,-4.084471630E-1,-6.147831973E-2,6.906965017E-2,4.187831005E-1
3.372520333E0,-1.758088360E-1,-2.536401551E-2,7.629680872E-2,1.933217089E-1
3.382522333E0,-4.817399646E-1,-4.413920570E-2,1.178009301E-1,4.978942881E-1
3.392525333E0,-1.174928550E0,2.448854115E-2,1.398069263E-2,1.175266883E0
3.402528333E0,-2.103085303E0,-6.165637475E-1,-9.112827122E-2,2.193495614E0
3.412530333E0,-1.570107503E0,-6.331172881E-1,2.737865174E-1,1.714944352E0
3.422533333E0,-1.589991983E0,-5.625045577E-1,-8.840405345E-3,1.686583540E0
3.432536333E0,-1.512913548E0,-5.674236010E-1,1.210876501E-1,1.620351556E0
3.442538333E0,-1.590391056E0,-6.571439358E-1,5.488898277E-2,1.721683671E0
3.452541333E0,-1.962767038E0,-3.840023663E-1,5.595376074E-2,2.000760627E0
3.462544333E0,-2.687187063E0,-1.073884095E-1,4.174327254E-2,2.689655942E0
3.472546333E0,-3.233430149E0,-2.204934773E-1,3.859513164E-2,3.241169154E0
3.482549333E0,-3.358370529E0,-2.572736515E-1,3.662403524E-2,3.368409664E0
3.492552333E0,-2.958629432E0,-2.642241636E-2,4.428447247E-2,2.959078805E0
3.502554333E0,-2.990699948E0,-1.275796674E-2,1.133044213E-1,2.992872673E0
3.512557333E0,-3.161757611E0,-1.130218181E-1,1.903502584E-2,3.163834296E0
3.522560333E0,-3.021046705E0,-3.102881265E-1,9.146974862E-2,3.038316743E0
3.532562333E0,-2.821823882E0,-2.724310962E-1,-4.840091228E-2,2.835357362E0
3.542565333E0,-2.609357699E0,-6.373852439E-2,7.100273967E-3,2.610145708E0
3.552568333E0,-2.593468768E0,6.214327605E-2,7.848717570E-2,2.595400215E0
3.562571333E0,-2.608912726E0,1.039254509E-1,7.250664353E-2,2.611988386E0
3.572573333E0,-2.407393263E0,-7.995380357E-2,7.728674233E-2,2.409960202E0
3.582576333E0,-2.265436023E0,-2.399302982E-1,4.101821780E-3,2.278109687E0
3.592579333E0,-1.774901554E0,1.999747753E-3,1.679174155E-1,1.782828029E0
3.602581333E0,-2.124263772E0,-4.234703410E-2,4.315069735E-2,2.125123956E0
3.612584333E0,-2.205139097E0,-2.835002775E-1,-1.814981586E-1,2.230684295E0
3.622587333E0,-1.511382308E0,-4.947425643E-1,1.410898054E-1,1.596544087E0
3.632589333E0,-1.191814504E0,-7.166998006E-1,2.636655718E-1,1.415485765E0
3.642592333E0,-1.217739962E0,-7.432389238E-1,-6.434626937E-2,1.428087937E0
3.652595333E0,-8.206027763E-1,-7.356992316E-1,8.184873998E-2,1.105143200E0
3.662597333E0,-7.987493925E-1,-7.796868847E-1,6.398666561E-2,1.118036906E0
3.672600333E0,-9.056352521E-1,-2.811598929E-1,3.880913973E-2,9.490691463E-1
3.682603333E0,-1.333405197E0,4.451409262E-1,8.341696322E-2,1.408218113E0
3.692605333E0,-1.442762309E0,5.881895489E-1,2.500912607E-2,1.558253985E0
3.702608333E0,-1.273443755E0,2.881732991E-1,1.150848985E-2,1.305693414E0
3.712611333E0,-7.251993864E-1,1.071844513E-1,6.342884123E-2,7.358164680E-1
3.722613333E0,-3.345323637E-1,-1.970473303E-1,2.271877170E-2,3.889160518E-1
3.732616333E0,2.328000162E-2,-4.568911985E-1,7.572670519E-2,4.637090247E-1
3.742619333E0,3.371488100E-1,-4.666518094E-1,7.217919946E-2,5.802095036E-1
3.752621333E0,3.103392897E-1,-2.663736549E-1,1.159105253E-1,4.250889891E-1
3.762624333E0,4.429728883E-1,1.441730422E-1,-3.888398409E-4,4.658443915E-1
3.772627333E0,6.362096612E-1,2.884704473E-1,3.914360046E-2,6.996500221E-1
3.782629667E0,5.984784557E-1,1.739542819E-1,1.219156158E-1,6.350590299E-1
3.792632667E0,5.980912238E-1,1.501941394E-2,-1.898123145E-2,5.985808066E-1
3.802635667E0,7.953597616E-1,-2.550447111E-1,-2.513308704E-2,8.356294795E-1
3.812637667E0,1.219695856E0,-5.384692489E-1,1.176798928E-1,1.338452715E0
3.822640667E0,1.460378508E0,-6.078092963E-1,4.238178849E-2,1.582382300E0
3.832643667E0,1.600532613E0,-5.109661026E-1,4.237944961E-2,1.680650773E0
3.842645667E0,1.616407803E0,-3.730617142E-1,2.531961322E-2,1.659093220E0
3.852648667E0,1.602651498E0,-8.388709763E-2,1.498465955E-2,1.604915390E0
3.862651667E0,1.478747390E0,2.173584561E-1,3.714092910E-2,1.495097987E0
3.872653667E0,1.456497126E0,1.281240980E-1,4.853013575E-2,1.462926805E0
3.882656667E0,1.569098566E0,-1.684559075E-2,2.938693643E-2,1.569464137E0
3.892659667E0,2.029684766E0,3.466710007E-2,1.774220645E-2,2.030058335E0
3.902661667E0,2.482499140E0,-1.349424083E-1,7.120388389E-2,2.487183432E0
3.912664667E0,2.308133415E0,-5.356328011E-1,8.649669170E-2,2.371047034E0
3.922667667E0,2.157415438E0,-7.821845229E-1,1.495425403E-2,2.294880744E0
3.932669667E0,2.286756579E0,-5.779955496E-1,3.636383414E-2,2.358952487E0
3.942672667E0,2.168337452E0,9.354432246E-2,5.883643806E-2,2.171151670E0
3.952675667E0,1.752516073E0,7.156473018E-1,-2.213229597E-2,1.893133246E0
3.962677667E0,1.307922593E0,8.831128737E-1,4.389738679E-2,1.578758004E0
3.972680667E0,1.099533893E0,7.427780901E-1,-8.191949129E-3,1.326936766E0
3.982683667E0,1.471662465E0,5.511638099E-1,3.486109972E-3,1.571491046E0
3.992685667E0,1.850082275E0,5.368837033E-1,-2.507052183E-2,1.926571324E0
4.002688667E0,1.909567900E0,4.952936278E-1,1.464914632E-1,1.978187325E0
4.012691667E0,1.637409394E0,4.928599801E-2,-5.888204634E-2,1.639208873E0
4.022694667E0,1.709804356E0,-6.308646483E-1,1.745510817E-2,1.822560238E0
4.032696667E0,2.172003364E0,-6.718930987E-1,1.132196367E-2,2.273580246E0
4.042699667E0,2.518647504E0,-3.086296369E-1,7.703998983E-2,2.538655680E0
4.052702667E0,2.329300189E0,-2.158115204E-1,-1.559452415E-2,2.339328360E0
4.062704667E0,2.170275512E0,-2.651868346E-1,7.199384272E-2,2.187602105E0
4.072707667E0,2.168560231E0,2.968247663E-2,5.850723982E-3,2.168771255E0
4.082710667E0,2.205740337E0,4.809441586E-1,-8.657387495E-3,2.257581154E0
4.092712667E0,2.011516444E0,7.299931531E-1,-1.922564507E-3,2.139881330E0
4.102715667E0,1.655264305E0,6.787961023E-1,2.158675075E-2,1.789170215E0
4.112718667E0,1.538668340E0,3.177267350E-1,3.988502741E-2,1.571636521E0
4.122720667E0,1.802259506E0,-1.289371716E-1,9.396592498E-2,1.809307524E0
4.132723667E0,2.045447106E0,-1.929972563E-1,-1.692359626E-2,2.054601716E0
4.142726667E0,2.288939345E0,1.432883036E-1,1.664760768E-2,2.293480326E0
4.152728667E0,2.151629180E0,3.986492760E-1,4.934699178E-2,2.188804353E0
4.162731667E0,1.827447996E0,8.613339689E-2,8.690365791E-2,1.831539621E0
4.172734667E0,3.168666827E-1,-8.673701227E-2,1.318991518E-1,3.540129802E-1
4.182736667E0,2.635745014E-1,1.114431064E-1,-1.025315112E-1,3.039799246E-1
4.192739667E0,2.390518820E-1,1.218462167E-1,-7.619155884E-2,2.789219540E-1
4.202742667E0,-1.589544379E-1,1.313095880E-1,1.824109089E-1,2.752861437E-1
4.212744667E0,-2.483612523E-1,-9.191313202E-2,1.883002245E-1,3.249435490E-1
4.222747667E0,-1.619946429E-1,-1.642222858E-1,-1.310138834E-1,2.652844909E-1
4.232750667E0,-7.976301075E-3,-7.990331652E-2,1.736506104E-2,8.215659873E-2
4.242752667E0,4.505057649E-2,-6.257364940E-2,8.338363409E-2,1.135686862E-1
4.252755667E0,-1.644727659E-2,-9.931402596E-2,2.560846567E-2,1.038729136E-1
4.262758667E0,-1.349362413E-2,-4.338286836E-3,6.781015992E-3,1.571244102E-2
4.272760667E0,4.814145123E-2,3.472418351E-2,1.186669028E-1,1.326845962E-1
4.282763667E0,3.963866777E-2,2.041703353E-2,6.911175013E-2,8.224666100E-2
4.292766667E0,2.771584787E-3,1.317927690E-2,-8.235452414E-2,8.344844317E-2
4.302768667E0,6.374548623E-2,5.054442845E-3,1.036968613E-1,1.218280487E-1
4.312771667E0,4.286377722E-2,-2.752056001E-2,1.851930141E-2,5.420008437E-2
4.322774667E0,1.453927165E-1,1.992220194E-1,5.519186854E-2,2.527342426E-1
4.332776667E0,1.622139683E-1,9.466748122E-2,4.590882897E-2,1.933466423E-1
4.342779667E0,3.985367628E-2,-1.111688902E-1,4.112054408E-2,1.250509369E-1
4.352782667E0,-9.892217115E-2,-3.877988538E-2,3.842731655E-2,1.129873184E-1
4.362784667E0,-2.853396471E-2,-2.089548195E-2,4.591409147E-2,5.795612222E-2
4.372787667E0,-5.957050574E-2,-9.109048359E-2,6.971927583E-2,1.292551692E-1
4.382790667E0,4.639806733E-3,-2.252047800E-2,5.789971411E-2,6.229828754E-2
4.392793667E0,2.721340760E-2,-1.667722749E-2,4.547730446E-2,5.555973983E-2
4.402795667E0,1.832418714E-2,-1.084974619E-2,2.677498519E-2,3.421100201E-2
4.412798667E0,2.601114240E-2,-1.975209547E-2,2.887530506E-2,4.359481674E-2
4.422800667E0,1.761253988E-2,-1.646700181E-2,5.342016220E-2,5.860953369E-2
4.432803667E0,-4.746312853E-3,-1.344470395E-2,4.848277330E-2,5.053579778E-2
4.442806667E0,1.951877329E-2,-1.358456204E-2,4.624796748E-2,5.200382037E-2
4.452809667E0,1.582791028E-2,-2.181232536E-2,-5.402359486E-2,6.037258552E-2
4.462811667E0,-3.650654275E-2,-9.478049694E-2,-1.158637476E-1,1.540794544E-1
4.472814667E0,-2.047633708E-2,-1.074905713E-1,3.372311461E-1,3.545396299E-1
4.482817667E0,1.505063259E-1,1.047271041E-1,2.483061057E-1,3.086678516E-1
4.492819667E0,3.472384090E-2,1.018126874E-1,1.149445653E-2,1.081835984E-1
4.502822667E0,-1.304588273E-2,5.676464165E-2,-1.983755618E-1,2.067493244E-1
4.512825667E0,1.840985798E-2,-4.367139190E-3,-3.803613782E-3,1.929928116E-2
4.522827667E0,2.673409123E-2,-4.711987870E-2,1.980843705E-1,2.053592278E-1
4.532830667E0,2.847588541E-2,-5.367102602E-2,6.695295811E-2,9.041102634E-2
4.542833667E0,3.363217031E-2,-3.324814528E-2,-6.086951494E-3,4.768241838E-2
4.552835667E0,-1.075717289E-2,1.036850207E-2,-1.897772312E-2,2.415318982E-2
4.562838667E0,2.480873559E-2,2.096902896E-3,7.310189009E-2,7.722536305E-2
4.572841667E0,7.283064780E-2,-8.727115542E-3,1.201404011E-1,1.407628566E-1
4.582843667E0,4.940601668E-2,-2.379464110E-2,1.808134496E-2,5.774144495E-2
4.592846667E0,1.776859201E-2,-1.800447235E-2,-1.141493440E-2,2.775220017E-2
4.602849667E0,9.732233640E-3,-2.012946015E-2,1.522556484E-2,2.705049653E-2
4.612851667E0,3.439590803E-2,-2.408680089E-2,1.309600890E-1,1.375274422E-1
4.622854667E0,2.308843450E-2,-2.429627739E-3,7.722300768E-2,8.063728550E-2
4.632857667E0,8.559807516E-3,-2.142894901E-3,2.962257922E-2,3.090889035E-2
4.642859667E0,7.023734828E-3,-6.000284795E-3,2.872970939E-2,3.017834439E-2
4.652862667E0,2.654939231E-2,-3.325269515E-2,6.645419061E-2,7.890989429E-2
4.662865667E0,9.089510436E-3,-2.810937462E-2,4.400205195E-2,5.299940299E-2
4.672867667E0,-5.779314861E-3,2.585638762E-3,1.885317743E-2,1.988789348E-2
4.682870667E0,9.062896469E-3,2.532403518E-2,2.394259393E-2,3.600959114E-2
4.692873667E0,1.669320683E-3,1.881654097E-2,7.408656120E-2,7.645696434E-2
4.702875667E0,3.482552307E-2,4.558021545E-2,7.109278679E-2,9.134854915E-2
4.712878667E0,5.680805265E-2,1.468128773E-1,5.657590449E-2,1.672782376E-1
4.722881667E0,2.397872333E-2,-1.978766847E-1,6.750201166E-2,2.104440142E-1
4.732883667E0,5.400592987E-2,-8.181033108E-2,1.929639637E-2,9.990956734E-2
4.742886667E0,5.660177842E-2,9.087395389E-3,6.554962635E-2,8.708097146E-2
4.752889667E0,4.449267902E-2,4.141911753E-3,3.545926988E-2,5.704483973E-2
4.762891667E0,2.986440727E-2,3.074332600E-2,3.935234606E-2,5.818627034E-2
4.772894667E0,7.405159668E-2,2.230130060E-1,5.327632070E-2,2.409498001E-1
4.782897667E0,6.908672587E-3,1.035006141E-1,4.264959097E-2,1.121565624E-1
4.792900208E0,-5.262156045E-2,-7.206636647E-2,3.292099357E-2,9.511246825E-2
4.802902208E0,8.836166114E-3,-8.486924713E-2,1.031156480E-2,8.594879469E-2
4.812905208E0,7.031931436E-2,1.086304677E-1,2.123825669E-2,1.311352281E-1
4.822908208E0,-4.633552954E-4,-5.157390386E-3,3.665853381E-2,3.702244556E-2
4.832910208E0,-4.269337200E-2,-2.477567781E-1,4.668533921E-2,2.557062103E-1
4.842913208E0,-2.008075467E-3,-1.968797893E-1,7.377841294E-2,2.102592162E-1
4.852916208E0,5.236629294E-2,1.608740788E-2,4.593981922E-2,7.149475728E-2
4.862918208E0,5.619807386E-2,-2.016872786E-2,3.411908805E-2,6.876854847E-2
4.872921208E0,4.261855961E-2,3.661690895E-3,6.300959587E-2,7.615746041E-2
4.882924208E0,2.857731176E-2,4.887815472E-3,5.268165886E-2,6.013244273E-2
4.892926208E0,3.665706287E-2,-3.890993111E-3,6.631385744E-2,7.587099429E-2
4.902929208E0,2.225560369E-2,-1.168284651E-2,5.523864627E-2,6.068862200E-2
4.912932208E0,-5.409679469E-3,-1.652152710E-2,2.648262441E-2,3.167893441E-2
4.922934208E0,1.403897292E-2,-1.959107777E-2,1.868126929E-2,3.049414552E-2
4.932937208E0,1.749047012E-2,-2.485832272E-2,2.377770245E-2,3.859056733E-2
4.942940208E0,2.585346858E-2,-1.575230760E-2,4.713089705E-2,5.601659119E-2
4.952942208E0,1.591856039E-2,-3.193730917E-3,1.433678806E-2,2.165973162E-2
4.962945208E0,1.039962935E-2,-3.696847279E-3,4.650816858E-2,4.779988196E-2
4.972948208E0,4.620102530E-2,5.370978210E-3,6.731314659E-2,8.181956887E-2
4.982950208E0,4.071974028E-2,1.505731121E-3,7.405498624E-2,8.452517650E-2
4.992953208E0,3.256391142E-2,1.121442972E-2,5.640399635E-2,6.608768845E-2
5.002956208E0,4.371662560E-2,4.157790598E-3,3.829283059E-2,5.826466726E-2
5.012958208E0,2.602296931E-2,2.814356256E-3,6.556482911E-3,2.698338379E-2
5.022961208E0,9.725975292E-3,-2.696772404E-3,4.277706027E-2,4.395161046E-2
5.032964208E0,1.906307420E-2,3.531809617E-3,4.321150839E-2,4.736147099E-2
5.042966208E0,8.661384615E-3,7.280825023E-3,2.329823077E-2,2.590053191E-2
5.052969208E0,2.497994481E-2,-3.004518673E-3,5.981643140E-2,6.489245134E-2
5.062972208E0,2.406483272E-2,-2.143857865E-2,7.148922801E-2,7.841835595E-2
5.072974208E0,1.721099605E-2,-1.036216149E-2,6.534848213E-2,6.836678209E-2
5.082977208E0,9.711645045E-3,-5.303826593E-3,1.355443060E-2,1.749769171E-2
5.092980208E0,3.300687455E-2,-8.668515477E-3,3.436934888E-2,4.843396608E-2
5.102982208E0,1.940739297E-2,-1.894993057E-2,5.443582356E-2,6.081945131E-2
5.112985208E0,2.377255416E-2,-3.449087961E-2,3.872669399E-2,5.704832981E-2
5.122988208E0,4.103832217E-2,-2.394904414E-2,3.184802949E-2,5.720137747E-2
5.132990208E0,3.545649702E-2,-1.464453433E-2,3.949677229E-2,5.506015427E-2
5.142993208E0,4.556927477E-2,-9.656384289E-3,6.555547357E-2,8.041967840E-2
5.152996208E0,4.373105178E-2,-9.161088578E-3,3.921552122E-2,5.944903311E-2
5.162999208E0,2.334493083E-2,4.040681832E-3,4.520540893E-2,5.103765181E-2
5.173001208E0,2.765547537E-2,1.964817949E-2,5.208465815E-2,6.215857052E-2
5.183004208E0,1.314673349E-2,6.370541453E-3,5.761086166E-2,5.943426437E-2
5.193007208E0,3.045674392E-2,9.370656442E-3,4.905989349E-2,5.850038975E-2
5.203009208E0,1.553751379E-2,-1.529613342E-3,3.647259235E-2,3.967371983E-2
5.213012208E0,2.031991493E-2,-1.185108187E-2,6.581333578E-2,6.989093110E-2
5.223015208E0,1.927011131E-2,-9.726934601E-3,6.506313801E-2,6.855043672E-2
5.233017208E0,1.645320604E-2,-2.231889524E-2,4.112171352E-2,4.959673776E-2
5.243020208E0,1.946627626E-2,-1.676966831E-2,6.523446143E-2,7.011200072E-2
5.253023208E0,2.195392848E-2,-1.937038193E-2,4.773432970E-2,5.599779374E-2
5.263025208E0,2.414506291E-2,-1.518419579E-2,2.108798325E-2,3.547177614E-2
5.273028208E0,1.479562090E-2,-5.516171884E-3,2.975063324E-3,1.606827781E-2
5.283031208E0,4.229080033E-2,-7.876601480E-3,4.847809553E-2,6.481264067E-2
5.293033208E0,4.478733758E-2,-8.628754411E-3,6.374342144E-2,7.838102313E-2
5.303036208E0,3.070251427E-2,-2.473631691E-2,5.072518051E-2,6.424619595E-2
5.313039208E0,4.899148107E-2,-1.170280013E-2,5.732551754E-2,7.631078370E-2
5.323041208E0,4.889201445E-2,-1.311561534E-2,3.712455690E-2,6.277484502E-2
5.333044208E0,1.967364685E-2,-8.552539609E-3,1.587694466E-2,2.668849351E-2
5.343047208E0,1.415343217E-2,-6.959081981E-3,6.706756353E-2,6.889707209E-2
5.353049208E0,4.585126131E-3,-8.422475606E-3,3.367996216E-2,3.501858546E-2
5.363052208E0,6.962850695E-3,-2.224993464E-3,3.098614991E-2,3.183666710E-2
5.373055208E0,1.327191873E-2,-9.434117004E-3,4.311093628E-2,4.608361116E-2
5.383057208E0,1.265068404E-2,-8.308966532E-3,5.089825809E-2,5.310095487E-2
5.393060208E0,1.586452390E-2,9.974253550E-3,5.943987072E-2,6.232388854E-2
5.403063208E0,2.535167697E-2,-5.026686843E-3,5.060940564E-2,5.682681625E-2
5.413065208E0,2.647814764E-2,-1.283732442E-2,3.504294813E-2,4.575912383E-2
5.423068208E0,1.559240453E-2,-1.825595744E-2,5.764536023E-2,6.244510083E-2
5.433071208E0,2.823328535E-2,-1.541940004E-2,5.465450943E-2,6.341917454E-2
5.443073208E0,1.994922430E-2,4.376823641E-4,4.237886488E-2,4.684155532E-2
5.453076208E0,1.293038651E-3,2.989389002E-5,4.461951792E-2,4.463825962E-2
5.463079208E0,2.019948056E-2,-1.666564269E-2,4.836056650E-2,5.499551848E-2
5.473081208E0,4.462120357E-2,-1.041199073E-2,4.476920664E-2,6.406046536E-2
5.483084208E0,4.063772395E-2,-8.875506911E-3,4.297645032E-2,5.980948514E-2
5.493087208E0,3.551698830E-2,-4.311700277E-3,4.117843151E-2,5.455007276E-2
5.503089208E0,2.062624964E-2,-8.734424561E-3,5.419959605E-2,5.864578892E-2
5.513092208E0,5.945270718E-3,-2.760408383E-2,4.970484138E-2,5.716557482E-2
5.523095208E0,2.017949496E-2,-2.826352185E-2,4.521417975E-2,5.701193502E-2
5.533098208E0,1.635362521E-2,-1.752620665E-2,3.338116944E-2,4.109636785E-2
5.543100208E0,1.529422851E-2,3.080971017E-3,1.810648799E-2,2.390085177E-2
5.553103208E0,1.936682791E-2,-8.100220934E-5,6.105487168E-2,6.405293077E-2
5.563106208E0,1.588455975E-2,-1.532220835E-2,6.330312610E-2,6.704010054E-2
5.573108208E0,3.001984270E-2,6.285025924E-4,1.023859155E-1,1.066979928E-1
5.583111208E0,1.723133796E-2,-1.028322408E-2,4.819625974E-2,5.220673480E-2
5.593114208E0,2.963787334E-2,7.661131583E-4,2.035357296E-2,3.596190203E-2
5.603116208E0,5.180102707E-2,-4.283633642E-3,2.094940424E-2,5.604081960E-2
5.613119208E0,3.867249304E-2,-1.760580188E-2,5.058660150E-2,6.606459134E-2
5.623122208E0,4.568392131E-2,-3.015103960E-2,5.748105347E-2,7.937365661E-2
5.633124208E0,3.326134720E-2,-1.602498885E-2,5.448844850E-2,6.581875497E-2
5.643127208E0,2.846080599E-2,-1.100431368E-2,5.928082645E-2,6.667329887E-2